"variable","countryname","countrycode","year","value"
"Adjusted savings: net forest depletion (current US$)","Bahamas, The","BHS","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bahrain","BHR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bangladesh","BGD","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Barbados","BRB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Belarus","BLR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Belgium","BEL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Belize","BLZ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Benin","BEN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bermuda","BMU","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bhutan","BTN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bolivia","BOL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bosnia and Herzegovina","BIH","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Botswana","BWA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Brazil","BRA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Brunei Darussalam","BRN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Bulgaria","BGR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Burkina Faso","BFA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Burundi","BDI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cabo Verde","CPV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cambodia","KHM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cameroon","CMR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Canada","CAN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cayman Islands","CYM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Central African Republic","CAF","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Chad","TCD","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Channel Islands","CHI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Chile","CHL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","China","CHN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Colombia","COL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Comoros","COM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Congo, Dem. Rep.","ZAR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Congo, Rep.","COG","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Costa Rica","CRI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cote d'Ivoire","CIV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Croatia","HRV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cuba","CUB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Curacao","CUW","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Cyprus","CYP","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Czech Republic","CZE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Denmark","DNK","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Djibouti","DJI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Dominica","DMA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Dominican Republic","DOM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Ecuador","ECU","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Egypt, Arab Rep.","EGY","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","El Salvador","SLV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Equatorial Guinea","GNQ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Eritrea","ERI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Estonia","EST","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Ethiopia","ETH","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Faeroe Islands","FRO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Fiji","FJI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Finland","FIN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","France","FRA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","French Polynesia","PYF","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Gabon","GAB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Gambia, The","GMB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Georgia","GEO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Germany","DEU","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Ghana","GHA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Greece","GRC","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Greenland","GRL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Grenada","GRD","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Guam","GUM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Guatemala","GTM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Guinea","GIN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Guinea-Bissau","GNB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Guyana","GUY","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Haiti","HTI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Honduras","HND","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Hong Kong SAR, China","HKG","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Hungary","HUN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Iceland","ISL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","India","IND","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Indonesia","IDN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Iran, Islamic Rep.","IRN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Iraq","IRQ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Ireland","IRL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Isle of Man","IMY","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Israel","ISR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Italy","ITA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Jamaica","JAM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Japan","JPN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Jordan","JOR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Kazakhstan","KAZ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Kenya","KEN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Kiribati","KIR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Korea, Dem. Rep.","PRK","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Korea, Rep.","KOR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Kosovo","KSV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Kuwait","KWT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Kyrgyz Republic","KGZ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Lao PDR","LAO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Latvia","LVA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Lebanon","LBN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Lesotho","LSO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Liberia","LBR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Libya","LBY","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Liechtenstein","LIE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Lithuania","LTU","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Luxembourg","LUX","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Macao SAR, China","MAC","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Macedonia, FYR","MKD","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Madagascar","MDG","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Malawi","MWI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Malaysia","MYS","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Maldives","MDV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Mali","MLI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Malta","MLT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Marshall Islands","MHL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Mauritania","MRT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Mauritius","MUS","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Mexico","MEX","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Micronesia, Fed. Sts.","FSM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Moldova","MDA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Monaco","MCO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Mongolia","MNG","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Montenegro","MNE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Morocco","MAR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Mozambique","MOZ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Myanmar","MMR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Namibia","NAM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Nepal","NPL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Netherlands","NLD","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","New Caledonia","NCL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","New Zealand","NZL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Nicaragua","NIC","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Niger","NER","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Nigeria","NGA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Northern Mariana Islands","MNP","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Norway","NOR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Oman","OMN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Pakistan","PAK","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Palau","PLW","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Panama","PAN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Papua New Guinea","PNG","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Paraguay","PRY","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Peru","PER","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Philippines","PHL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Poland","POL","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Portugal","PRT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Puerto Rico","PRI","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Qatar","QAT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Romania","ROM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Russian Federation","RUS","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Rwanda","RWA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Samoa","WSM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","San Marino","SMR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Sao Tome and Principe","STP","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Saudi Arabia","SAU","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Senegal","SEN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Serbia","SRB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Seychelles","SYC","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Sierra Leone","SLE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Singapore","SGP","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Sint Maarten (Dutch part)","SXM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Slovak Republic","SVK","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Slovenia","SVN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Solomon Islands","SLB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Somalia","SOM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","South Africa","ZAF","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","South Sudan","SSD","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Spain","ESP","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Sri Lanka","LKA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","St. Kitts and Nevis","KNA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","St. Lucia","LCA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","St. Martin (French part)","MAF","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","St. Vincent and the Grenadines","VCT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Sudan","SDN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Suriname","SUR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Swaziland","SWZ","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Sweden","SWE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Switzerland","CHE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Syrian Arab Republic","SYR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Taiwan, China","TWN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Tajikistan","TJK","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Tanzania","TZA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Thailand","THA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Timor-Leste","TMP","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Togo","TGO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Tonga","TON","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Trinidad and Tobago","TTO","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Tunisia","TUN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Turkey","TUR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Turkmenistan","TKM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Turks and Caicos Islands","TCA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Tuvalu","TUV","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Uganda","UGA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Ukraine","UKR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","United Arab Emirates","ARE","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","United Kingdom","GBR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","United States","USA","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Uruguay","URY","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Uzbekistan","UZB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Vanuatu","VUT","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Venezuela, RB","VEN","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Vietnam","VNM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Virgin Islands (U.S.)","VIR","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","West Bank and Gaza","WBG","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Yemen, Rep.","YEM","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Zambia","ZMB","yr2014",".."
"Adjusted savings: net forest depletion (current US$)","Zimbabwe","ZWE","yr2014",".."
"Land area where elevation is below 5 meters (% of total land area)","Afghanistan","AFG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Albania","ALB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Algeria","DZA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","American Samoa","ASM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Andorra","ADO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Angola","AGO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Antigua and Barbuda","ATG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Argentina","ARG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Armenia","ARM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Aruba","ABW","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Australia","AUS","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Austria","AUT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Azerbaijan","AZE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bahamas, The","BHS","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bahrain","BHR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bangladesh","BGD","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Barbados","BRB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Belarus","BLR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Belgium","BEL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Belize","BLZ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Benin","BEN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bermuda","BMU","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bhutan","BTN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bolivia","BOL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bosnia and Herzegovina","BIH","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Botswana","BWA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Brazil","BRA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Brunei Darussalam","BRN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Bulgaria","BGR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Burkina Faso","BFA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Burundi","BDI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cabo Verde","CPV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cambodia","KHM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cameroon","CMR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Canada","CAN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cayman Islands","CYM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Central African Republic","CAF","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Chad","TCD","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Channel Islands","CHI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Chile","CHL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","China","CHN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Colombia","COL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Comoros","COM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Congo, Dem. Rep.","ZAR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Congo, Rep.","COG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Costa Rica","CRI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cote d'Ivoire","CIV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Croatia","HRV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cuba","CUB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Curacao","CUW","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Cyprus","CYP","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Czech Republic","CZE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Denmark","DNK","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Djibouti","DJI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Dominica","DMA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Dominican Republic","DOM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Ecuador","ECU","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Egypt, Arab Rep.","EGY","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","El Salvador","SLV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Equatorial Guinea","GNQ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Eritrea","ERI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Estonia","EST","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Ethiopia","ETH","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Faeroe Islands","FRO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Fiji","FJI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Finland","FIN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","France","FRA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","French Polynesia","PYF","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Gabon","GAB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Gambia, The","GMB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Georgia","GEO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Germany","DEU","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Ghana","GHA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Greece","GRC","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Greenland","GRL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Grenada","GRD","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Guam","GUM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Guatemala","GTM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Guinea","GIN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Guinea-Bissau","GNB","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Guyana","GUY","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Haiti","HTI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Honduras","HND","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Hong Kong SAR, China","HKG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Hungary","HUN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Iceland","ISL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","India","IND","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Indonesia","IDN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Iran, Islamic Rep.","IRN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Iraq","IRQ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Ireland","IRL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Isle of Man","IMY","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Israel","ISR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Italy","ITA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Jamaica","JAM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Japan","JPN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Jordan","JOR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Kazakhstan","KAZ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Kenya","KEN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Kiribati","KIR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Korea, Dem. Rep.","PRK","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Korea, Rep.","KOR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Kosovo","KSV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Kuwait","KWT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Kyrgyz Republic","KGZ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Lao PDR","LAO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Latvia","LVA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Lebanon","LBN","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Lesotho","LSO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Liberia","LBR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Libya","LBY","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Liechtenstein","LIE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Lithuania","LTU","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Luxembourg","LUX","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Macao SAR, China","MAC","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Macedonia, FYR","MKD","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Madagascar","MDG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Malawi","MWI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Malaysia","MYS","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Maldives","MDV","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Mali","MLI","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Malta","MLT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Marshall Islands","MHL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Mauritania","MRT","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Mauritius","MUS","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Mexico","MEX","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Micronesia, Fed. Sts.","FSM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Moldova","MDA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Monaco","MCO","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Mongolia","MNG","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Montenegro","MNE","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Morocco","MAR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Mozambique","MOZ","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Myanmar","MMR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Namibia","NAM","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Nepal","NPL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Netherlands","NLD","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","New Caledonia","NCL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","New Zealand","NZL","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Nicaragua","NIC","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Niger","NER","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Nigeria","NGA","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Northern Mariana Islands","MNP","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Norway","NOR","yr2015",".."
"Land area where elevation is below 5 meters (% of total land area)","Oman","OMN","yr2015",".."
